;price;year;condition;cylinders;odometer;title_status;transmission;drive;size;lat;long;weather
1071800;43900;2016;4;6;43500;clean;automatic;4wd;full-size;36,4715;-82,4834;59
1458828;15490;2009;2;8;98131;clean;automatic;4wd;full-size;40,468826;-74,281734;52
890437;2495;2002;2;8;201803;clean;automatic;4wd;full-size;42,477134;-82,949564;45
463498;1300;2000;1;8;170305;rebuilt;automatic;4wd;full-size;40,764373;-82,349503;49
322774;13865;2010;3;8;166062;clean;automatic;4wd;;49,210949;-123,11472;
605581;6995;2003;3;8;167662;clean;automatic;4wd;full-size;45,518031;-122,578752;50
1031576;8995;2006;3;8;115500;clean;automatic;rwd;full-size;43,592223;-96,787488;38
702022;5995;2005;3;6;191198;clean;automatic;rwd;full-size;38,611926;-121,423565;59
1320289;18750;2011;2;6;77000;clean;automatic;rwd;;33,6989;-84,7454;59
1224789;5500;2007;3;6;139913;clean;manual;rwd;full-size;31,782356;-96,088975;67
442860;8900;2008;2;8;124600;rebuilt;automatic;4wd;full-size;40,5384;-82,8062;49
1343314;19680;2015;4;6;135150;clean;automatic;4wd;full-size;37,167749;-113,415403;50
1625385;1700;2001;1;8;275000;clean;automatic;4wd;;44,5494;-90,6112;45
1657499;12550;2007;3;8;139848;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
899368;11700;2010;2;8;144570;clean;automatic;4wd;full-size;42,892121;-85,665539;45
1713797;24077;2012;3;6;98462;clean;automatic;4wd;mid-size;34,25343;-77,85125;56
1689293;39800;2015;3;6;81233;clean;automatic;4wd;mid-size;34,74851;-77,41559;56
1715097;11995;2007;3;8;237627;clean;automatic;4wd;mid-size;35,55495;-77,40627;56
60767;32500;2015;3;6;73300;clean;automatic;4wd;full-size;49,184885;-122,801111;
482565;7500;2005;2;8;152700;clean;automatic;4wd;full-size;34,5575;-114,3307;71
828926;8000;2005;3;8;114100;clean;automatic;rwd;full-size;40,1306;-104,9504;45
156665;32700;2015;3;6;88500;clean;automatic;4wd;full-size;50,039078;-125,271885;
1225504;14000;2010;2;8;116000;clean;automatic;4wd;full-size;31,8841;-94,3967;67
99763;2500;1999;2;8;198012;clean;automatic;rwd;full-size;33,4669;-94,0774;67
127156;19550;2011;3;8;95372;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
1659409;35999;2016;3;8;25814;clean;automatic;4wd;;43,852883;-88,855927;45
1691445;26900;2013;3;8;95208;clean;automatic;4wd;full-size;36,277213;-80,339822;56
870450;14000;1978;3;8;45000;clean;manual;4wd;full-size;43,000228;-82,435398;45
793324;4850;2008;2;6;155000;clean;automatic;rwd;full-size;40,1245;-75,3304;53
806850;3500;1995;2;8;120000;clean;automatic;4wd;full-size;39,875935;-75,555846;53
1604277;14995;2010;3;8;80246;clean;automatic;4wd;full-size;43,223552;-77,372473;53
1722957;16750;2012;2;8;160360;clean;automatic;4wd;full-size;33,931773;-88,480625;61
1602395;13995;2008;3;8;105033;clean;automatic;4wd;full-size;43,223552;-77,372473;53
206192;10000;2005;2;8;148000;clean;automatic;4wd;;61,1535;-149,8289;29
1208382;16995;2007;3;8;30415;clean;automatic;4wd;full-size;47,830597;-110,662694;40
332319;6500;2006;3;8;130000;clean;automatic;rwd;;38,824368;-91,20075;52
126968;3200;2003;2;8;231000;clean;automatic;4wd;full-size;42,4649;-90,6829;47
1708283;33777;2018;3;8;12598;clean;automatic;4wd;mid-size;34,25343;-77,85125;56
13533;16990;2014;3;6;99422;clean;automatic;4wd;full-size;47,911024;-97,045022;38
111835;26300;2016;4;6;54200;clean;automatic;rwd;full-size;30,385487;-86,394253;65
1649092;25495;2013;3;8;41952;clean;automatic;4wd;mid-size;44,52039;-88,06645;45
398257;3000;1996;3;6;181000;clean;manual;fwd;;33,606938;-86,118533;61
1061899;32950;2014;4;8;29477;clean;automatic;4wd;full-size;37,063766;-93,556502;52
1330436;15000;2014;3;6;156338;clean;automatic;4wd;;41,210404;-96,018276;46
1595503;64990;2018;3;6;8023;clean;automatic;4wd;full-size;43,154309;-75,931578;53
1622053;4000;2005;1;8;99500;clean;automatic;4wd;full-size;44,33023;-88,640601;45
1029796;27995;2016;3;6;42207;clean;automatic;4wd;full-size;44,082529;-103,227047;38
987359;8250;2009;2;8;168700;clean;automatic;4wd;full-size;43,5667;-91,913;43
491845;31257;2015;3;6;54380;clean;automatic;4wd;full-size;33,640206;-112,035982;71
1636932;11485;2008;2;8;120571;clean;automatic;4wd;full-size;43,122774;-88,52791;45
1632420;11880;2008;3;8;147311;clean;automatic;4wd;mid-size;44,57437;-88,16024;45
204955;5300;2007;2;8;24700;clean;automatic;4wd;full-size;46,9209;-96,8318;38
593377;3328;1998;3;8;253765;clean;automatic;4wd;full-size;44,585547;-123,25671;50
68155;53888;2018;4;8;10500;clean;automatic;4wd;;49,172179;-123,076057;
411283;8989;2002;2;8;167068;clean;automatic;4wd;full-size;38,153554;-85,659028;50
1650231;26320;2014;3;6;64947;clean;automatic;4wd;mid-size;43,75891;-87,75358;45
543286;4900;2004;2;8;204603;clean;automatic;4wd;full-size;35,250553;-91,711354;59
393204;1500;2001;1;8;280000;clean;automatic;4wd;full-size;32,4145;-85,7253;61
679134;28495;2016;3;8;31486;clean;automatic;rwd;;34,070283;-117,417684;59
802356;4900;2007;2;6;90000;clean;automatic;rwd;full-size;40,616946;-75,441782;53
